Code INSEE région;Région;Nature;Date;Heure;Date - Heure;Consommation (MW);Thermique (MW);Nucléaire (MW);Eolien (MW);Solaire (MW);Hydraulique (MW);Pompage (MW);Bioénergies (MW);Ech. physiques (MW);Stockage batterie;Déstockage batterie;Eolien terrestre;Eolien offshore;TCO Thermique (%);TCH Thermique (%);TCO Nucléaire (%);TCH Nucléaire (%);TCO Eolien (%);TCH Eolien (%);TCO Solaire (%);TCH Solaire (%);TCO Hydraulique (%);TCH Hydraulique (%);TCO Bioénergies (%);TCH Bioénergies (%);Column 30
32;Hauts-de-France;Données consolidées;2024-01-01;00:00;2024-01-01T00:00:00+01:00;5497;398;3349;5445;0;2;0;126;-3820;0;0;0;0;7.24;16.54;60.92;61.34;99.05;89.53;0.0;0.0;0.04;50.0;2.29;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;00:30;2024-01-01T00:30:00+01:00;5416;337;3125;5459;0;2;0;122;-3631;0;0;0;0;6.22;14.0;57.7;57.23;100.79;89.76;0.0;0.0;0.04;50.0;2.25;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;01:00;2024-01-01T01:00:00+01:00;5255;401;3081;5418;0;2;0;127;-3774;0;0;0;0;7.63;16.66;58.63;56.43;103.1;89.08;0.0;0.0;0.04;50.0;2.42;62.56;
32;Hauts-de-France;Données consolidées;2024-01-01;01:30;2024-01-01T01:30:00+01:00;5315;379;3114;5388;0;2;0;126;-3689;0;0;0;0;7.13;15.75;58.59;57.03;101.37;88.59;0.0;0.0;0.04;50.0;2.37;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;02:00;2024-01-01T02:00:00+01:00;5301;371;3089;5368;0;2;0;124;-3650;0;0;0;0;7.0;15.41;58.27;56.58;101.26;88.26;0.0;0.0;0.04;50.0;2.34;61.08;
32;Hauts-de-France;Données consolidées;2024-01-01;02:30;2024-01-01T02:30:00+01:00;5196;399;3144;5274;0;2;0;124;-3740;0;0;0;0;7.68;16.58;60.51;57.58;101.5;86.71;0.0;0.0;0.04;50.0;2.39;61.08;
32;Hauts-de-France;Données consolidées;2024-01-01;03:00;2024-01-01T03:00:00+01:00;4978;406;3139;4223;0;2;0;126;-2921;0;0;0;0;8.16;16.87;63.06;57.49;84.83;69.43;0.0;0.0;0.04;50.0;2.53;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;03:30;2024-01-01T03:30:00+01:00;4761;396;3124;3305;0;2;0;126;-2188;0;0;0;0;8.32;16.45;65.62;57.22;69.42;54.34;0.0;0.0;0.04;50.0;2.65;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;04:00;2024-01-01T04:00:00+01:00;4863;346;3121;3201;0;2;0;126;-1930;0;0;0;0;7.11;14.37;64.18;57.16;65.82;52.63;0.0;0.0;0.04;50.0;2.59;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;04:30;2024-01-01T04:30:00+01:00;4681;402;3122;3160;0;2;0;128;-2128;0;0;0;0;8.59;16.7;66.7;57.18;67.51;51.96;0.0;0.0;0.04;50.0;2.73;63.05;
32;Hauts-de-France;Données consolidées;2024-01-01;05:00;2024-01-01T05:00:00+01:00;4633;360;3104;3151;0;2;0;127;-2109;0;0;0;0;7.77;14.96;67.0;56.85;68.01;51.81;0.0;0.0;0.04;50.0;2.74;62.56;
32;Hauts-de-France;Données consolidées;2024-01-01;05:30;2024-01-01T05:30:00+01:00;4667;395;3094;3186;0;2;0;126;-2133;0;0;0;0;8.46;16.41;66.3;56.67;68.27;52.38;0.0;0.0;0.04;50.0;2.7;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;06:00;2024-01-01T06:00:00+01:00;4597;360;3125;3084;0;2;0;127;-2098;0;0;0;0;7.83;14.96;67.98;57.23;67.09;50.71;0.0;0.0;0.04;50.0;2.76;62.56;
32;Hauts-de-France;Données consolidées;2024-01-01;06:30;2024-01-01T06:30:00+01:00;4812;400;3166;3061;0;2;0;119;-1934;0;0;0;0;8.31;16.62;65.79;57.99;63.61;50.33;0.0;0.0;0.04;50.0;2.47;58.62;
32;Hauts-de-France;Données consolidées;2024-01-01;07:00;2024-01-01T07:00:00+01:00;4845;370;3207;2996;0;2;0;121;-1849;0;0;0;0;7.64;15.37;66.19;58.74;61.84;49.26;0.0;0.0;0.04;50.0;2.5;59.61;
32;Hauts-de-France;Données consolidées;2024-01-01;07:30;2024-01-01T07:30:00+01:00;4808;355;3061;2976;0;2;0;121;-1702;0;0;0;0;7.38;14.75;63.66;56.06;61.9;48.93;0.0;0.0;0.04;50.0;2.52;59.61;
32;Hauts-de-France;Données consolidées;2024-01-01;08:00;2024-01-01T08:00:00+01:00;4815;332;3055;2905;0;2;0;121;-1603;0;0;0;0;6.9;13.79;63.45;55.95;60.33;47.76;0.0;0.0;0.04;50.0;2.51;59.61;
32;Hauts-de-France;Données consolidées;2024-01-01;08:30;2024-01-01T08:30:00+01:00;4859;303;2998;4417;0;2;0;120;-2981;0;0;0;0;6.24;12.59;61.7;54.91;90.9;72.62;0.0;0.0;0.04;50.0;2.47;59.11;
32;Hauts-de-France;Données consolidées;2024-01-01;09:00;2024-01-01T09:00:00+01:00;5055;352;2998;4414;0;2;0;121;-2834;0;0;0;0;6.96;14.62;59.31;54.91;87.32;72.57;0.0;0.0;0.04;50.0;2.39;59.61;
32;Hauts-de-France;Données consolidées;2024-01-01;09:30;2024-01-01T09:30:00+01:00;4789;329;3076;4228;8;2;0;120;-2975;0;0;0;0;6.87;13.67;64.23;56.34;88.29;69.52;0.17;1.44;0.04;50.0;2.51;59.11;
32;Hauts-de-France;Données consolidées;2024-01-01;10:00;2024-01-01T10:00:00+01:00;4830;385;3068;4111;24;2;0;123;-2883;0;0;0;0;7.97;16.0;63.52;56.19;85.11;67.59;0.5;4.33;0.04;50.0;2.55;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;10:30;2024-01-01T10:30:00+01:00;4941;314;3007;4081;38;2;0;126;-2627;0;0;0;0;6.35;13.05;60.86;55.07;82.59;67.1;0.77;6.86;0.04;50.0;2.55;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;11:00;2024-01-01T11:00:00+01:00;5361;395;2991;3968;47;2;0;123;-2164;0;0;0;0;7.37;16.41;55.79;54.78;74.02;65.24;0.88;8.48;0.04;50.0;2.29;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;11:30;2024-01-01T11:30:00+01:00;5097;321;2965;3878;59;2;0;124;-2252;0;0;0;0;6.3;13.34;58.17;54.3;76.08;63.76;1.16;10.65;0.04;50.0;2.43;61.08;
32;Hauts-de-France;Données consolidées;2024-01-01;12:00;2024-01-01T12:00:00+01:00;5161;407;2967;3925;70;2;0;127;-2337;0;0;0;0;7.89;16.91;57.49;54.34;76.05;64.53;1.36;12.64;0.04;50.0;2.46;62.56;
32;Hauts-de-France;Données consolidées;2024-01-01;12:30;2024-01-01T12:30:00+01:00;5318;387;2976;3749;76;2;0;127;-1996;0;0;0;0;7.28;16.08;55.96;54.51;70.5;61.64;1.43;13.72;0.04;50.0;2.39;62.56;
32;Hauts-de-France;Données consolidées;2024-01-01;13:00;2024-01-01T13:00:00+01:00;5314;396;2978;3530;72;2;0;125;-1791;0;0;0;0;7.45;16.45;56.04;54.54;66.43;58.04;1.35;13.0;0.04;50.0;2.35;61.58;
32;Hauts-de-France;Données consolidées;2024-01-01;13:30;2024-01-01T13:30:00+01:00;5184;396;3018;3453;71;2;0;123;-1875;0;0;0;0;7.64;16.45;58.22;55.27;66.61;56.77;1.37;12.82;0.04;50.0;2.37;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;14:00;2024-01-01T14:00:00+01:00;5095;348;3027;3192;58;2;0;122;-1653;0;0;0;0;6.83;14.46;59.41;55.44;62.65;52.48;1.14;10.47;0.04;50.0;2.39;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;14:30;2024-01-01T14:30:00+01:00;5219;372;3067;2835;52;2;0;123;-1234;0;0;0;0;7.13;15.45;58.77;56.17;54.32;46.61;1.0;9.39;0.04;50.0;2.36;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;15:00;2024-01-01T15:00:00+01:00;5273;313;3078;2449;39;2;0;122;-731;0;0;0;0;5.94;13.0;58.37;56.37;46.44;40.27;0.74;7.04;0.04;50.0;2.31;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;15:30;2024-01-01T15:30:00+01:00;5031;394;3081;2112;22;2;0;124;-704;0;0;0;0;7.83;16.37;61.24;56.43;41.98;34.73;0.44;3.97;0.04;50.0;2.46;61.08;
32;Hauts-de-France;Données consolidées;2024-01-01;16:00;2024-01-01T16:00:00+01:00;5121;348;3060;2017;14;2;0;122;-435;0;0;0;0;6.8;14.46;59.75;56.04;39.39;33.16;0.27;2.53;0.04;50.0;2.38;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;16:30;2024-01-01T16:30:00+01:00;4969;370;3212;1901;5;2;0;123;-642;0;0;0;0;7.45;15.37;64.64;58.83;38.26;31.26;0.1;0.9;0.04;50.0;2.48;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;17:00;2024-01-01T17:00:00+01:00;4723;372;3794;2056;0;2;0;120;-1621;0;0;0;0;7.88;15.45;80.33;69.49;43.53;33.8;0.0;0.0;0.04;50.0;2.54;59.11;
32;Hauts-de-France;Données consolidées;2024-01-01;17:30;2024-01-01T17:30:00+01:00;5166;366;4340;2457;0;2;0;122;-2118;0;0;0;0;7.08;15.21;84.01;79.49;47.56;40.4;0.0;0.0;0.04;50.0;2.36;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;18:00;2024-01-01T18:00:00+01:00;5245;368;4353;3051;0;2;0;123;-2650;0;0;0;0;7.02;15.29;82.99;79.73;58.17;50.16;0.0;0.0;0.04;50.0;2.35;60.59;
32;Hauts-de-France;Données consolidées;2024-01-01;18:30;2024-01-01T18:30:00+01:00;5469;398;4291;3448;0;2;0;125;-2795;0;0;0;0;7.28;16.54;78.46;78.59;63.05;56.69;0.0;0.0;0.04;50.0;2.29;61.58;
32;Hauts-de-France;Données consolidées;2024-01-01;19:00;2024-01-01T19:00:00+01:00;5383;355;4284;3873;0;2;0;124;-3254;0;0;0;0;6.59;14.75;79.58;78.46;71.95;63.68;0.0;0.0;0.04;50.0;2.3;61.08;
32;Hauts-de-France;Données consolidées;2024-01-01;19:30;2024-01-01T19:30:00+01:00;5499;374;4279;4261;0;2;0;122;-3541;0;0;0;0;6.8;15.54;77.81;78.37;77.49;70.06;0.0;0.0;0.04;50.0;2.22;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;20:00;2024-01-01T20:00:00+01:00;5486;384;4292;4660;0;2;0;122;-3965;0;0;0;0;7.0;15.95;78.24;78.61;84.94;76.62;0.0;0.0;0.04;50.0;2.22;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;20:30;2024-01-01T20:30:00+01:00;5271;348;4353;4916;0;2;0;122;-4469;0;0;0;0;6.6;14.46;82.58;79.73;93.27;80.83;0.0;0.0;0.04;50.0;2.31;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;21:00;2024-01-01T21:00:00+01:00;5244;409;4354;5085;0;2;0;126;-4731;0;0;0;0;7.8;16.99;83.03;79.74;96.97;83.61;0.0;0.0;0.04;50.0;2.4;62.07;
32;Hauts-de-France;Données consolidées;2024-01-01;21:30;2024-01-01T21:30:00+01:00;5329;333;4238;5203;0;2;0;122;-4571;0;0;0;0;6.25;13.83;79.53;77.62;97.64;85.55;0.0;0.0;0.04;50.0;2.29;60.1;
32;Hauts-de-France;Données consolidées;2024-01-01;22:00;2024-01-01T22:00:00+01:00;5079;411;4216;5300;0;2;0;121;-4964;0;0;0;0;8.09;17.08;83.01;77.22;104.35;87.14;0.0;0.0;0.04;50.0;2.38;59.61;
32;Hauts-de-France;Données consolidées;2024-01-01;22:30;2024-01-01T22:30:00+01:00;5326;328;4231;5292;0;2;0;119;-4647;0;0;0;0;6.16;13.63;79.44;77.49;99.36;87.01;0.0;0.0;0.04;50.0;2.23;58.62;
32;Hauts-de-France;Données consolidées;2024-01-01;23:00;2024-01-01T23:00:00+01:00;4914;343;4270;5338;0;2;0;119;-5160;0;0;0;0;6.98;14.25;86.89;78.21;108.63;87.77;0.0;0.0;0.04;50.0;2.42;58.62;
