dt,grid_sell_eur_per_mwh,h2_price_eur_per_kg
2024-01-01 01:00:00+01:00,89.06,9.748069000000001
2024-01-01 01:30:00+01:00,89.06,9.748069000000001
2024-01-01 02:00:00+01:00,78.48,9.197909
2024-01-01 02:30:00+01:00,78.48,9.197909
2024-01-01 03:00:00+01:00,85.16,9.545269
2024-01-01 03:30:00+01:00,85.16,9.545269
2024-01-01 04:00:00+01:00,50.0,7.716949
2024-01-01 04:30:00+01:00,50.0,7.716949
2024-01-01 05:00:00+01:00,37.67,7.075789
2024-01-01 05:30:00+01:00,37.67,7.075789
2024-01-01 06:00:00+01:00,39.7,7.181349
2024-01-01 06:30:00+01:00,39.7,7.181349
2024-01-01 07:00:00+01:00,40.59,7.227629
2024-01-01 07:30:00+01:00,40.59,7.227629
2024-01-01 08:00:00+01:00,43.26,7.366469
2024-01-01 08:30:00+01:00,43.26,7.366469
2024-01-01 09:00:00+01:00,49.66,7.699268999999999
2024-01-01 09:30:00+01:00,49.66,7.699268999999999
2024-01-01 10:00:00+01:00,70.05,8.759549
2024-01-01 10:30:00+01:00,70.05,8.759549
2024-01-01 11:00:00+01:00,76.79,9.110029
2024-01-01 11:30:00+01:00,76.79,9.110029
2024-01-01 12:00:00+01:00,84.1,9.490148999999999
2024-01-01 12:30:00+01:00,84.1,9.490148999999999
2024-01-01 13:00:00+01:00,94.74,10.043429
2024-01-01 13:30:00+01:00,94.74,10.043429
2024-01-01 14:00:00+01:00,96.8,10.150549
2024-01-01 14:30:00+01:00,96.8,10.150549
2024-01-01 15:00:00+01:00,97.17,10.169789
2024-01-01 15:30:00+01:00,97.17,10.169789
2024-01-01 16:00:00+01:00,98.52,10.239989
2024-01-01 16:30:00+01:00,98.52,10.239989
2024-01-01 17:00:00+01:00,114.5,11.070949
2024-01-01 17:30:00+01:00,114.5,11.070949
2024-01-01 18:00:00+01:00,149.97,12.915389
2024-01-01 18:30:00+01:00,149.97,12.915389
2024-01-01 19:00:00+01:00,146.33,12.726109
2024-01-01 19:30:00+01:00,146.33,12.726109
2024-01-01 20:00:00+01:00,140.28,12.411509
2024-01-01 20:30:00+01:00,140.28,12.411509
2024-01-01 21:00:00+01:00,121.88,11.454709
2024-01-01 21:30:00+01:00,121.88,11.454709
2024-01-01 22:00:00+01:00,102.61,10.452669
2024-01-01 22:30:00+01:00,102.61,10.452669
2024-01-01 23:00:00+01:00,97.46,10.184869
2024-01-01 23:30:00+01:00,97.46,10.184869
2024-01-02 00:00:00+01:00,85.16,9.545269
2024-01-02 00:30:00+01:00,85.16,9.545269
2024-01-02 01:00:00+01:00,57.08,8.085109
2024-01-02 01:30:00+01:00,57.08,8.085109
2024-01-02 02:00:00+01:00,52.59,7.851629
2024-01-02 02:30:00+01:00,52.59,7.851629
2024-01-02 03:00:00+01:00,48.97,7.6633890000000005
2024-01-02 03:30:00+01:00,48.97,7.6633890000000005
2024-01-02 04:00:00+01:00,34.94,6.933828999999999
2024-01-02 04:30:00+01:00,34.94,6.933828999999999
2024-01-02 05:00:00+01:00,29.56,6.654069
2024-01-02 05:30:00+01:00,29.56,6.654069
2024-01-02 06:00:00+01:00,33.97,6.883388999999999
2024-01-02 06:30:00+01:00,33.97,6.883388999999999
2024-01-02 07:00:00+01:00,34.52,6.911989
2024-01-02 07:30:00+01:00,34.52,6.911989
2024-01-02 08:00:00+01:00,41.8,7.290549
2024-01-02 08:30:00+01:00,41.8,7.290549
2024-01-02 09:00:00+01:00,48.95,7.662349
2024-01-02 09:30:00+01:00,48.95,7.662349
2024-01-02 10:00:00+01:00,60.01,8.237469
2024-01-02 10:30:00+01:00,60.01,8.237469
2024-01-02 11:00:00+01:00,70.09,8.761629
2024-01-02 11:30:00+01:00,70.09,8.761629
2024-01-02 12:00:00+01:00,66.26,8.562469
2024-01-02 12:30:00+01:00,66.26,8.562469
2024-01-02 13:00:00+01:00,64.54,8.473029
2024-01-02 13:30:00+01:00,64.54,8.473029
2024-01-02 14:00:00+01:00,46.96,7.558869
2024-01-02 14:30:00+01:00,46.96,7.558869
2024-01-02 15:00:00+01:00,40.01,7.197469
2024-01-02 15:30:00+01:00,40.01,7.197469
2024-01-02 16:00:00+01:00,39.3,7.160549
2024-01-02 16:30:00+01:00,39.3,7.160549
2024-01-02 17:00:00+01:00,40.79,7.238029
2024-01-02 17:30:00+01:00,40.79,7.238029
2024-01-02 18:00:00+01:00,47.91,7.608269
2024-01-02 18:30:00+01:00,47.91,7.608269
2024-01-02 19:00:00+01:00,65.09,8.501629
2024-01-02 19:30:00+01:00,65.09,8.501629
2024-01-02 20:00:00+01:00,67.85,8.645149
2024-01-02 20:30:00+01:00,67.85,8.645149
2024-01-02 21:00:00+01:00,62.22,8.352388999999999
2024-01-02 21:30:00+01:00,62.22,8.352388999999999
2024-01-02 22:00:00+01:00,46.16,7.517269
2024-01-02 22:30:00+01:00,46.16,7.517269
2024-01-02 23:00:00+01:00,46.29,7.524029
2024-01-02 23:30:00+01:00,46.29,7.524029
2024-01-03 00:00:00+01:00,32.93,6.829309
2024-01-03 00:30:00+01:00,32.93,6.829309
2024-01-03 01:00:00+01:00,2.71,5.257869
2024-01-03 01:30:00+01:00,2.71,5.257869
2024-01-03 02:00:00+01:00,1.71,5.205869
2024-01-03 02:30:00+01:00,1.71,5.205869
2024-01-03 03:00:00+01:00,1.24,5.181429
2024-01-03 03:30:00+01:00,1.24,5.181429
2024-01-03 04:00:00+01:00,0.06,5.120069
2024-01-03 04:30:00+01:00,0.06,5.120069
2024-01-03 05:00:00+01:00,0.09,5.121629
2024-01-03 05:30:00+01:00,0.09,5.121629
2024-01-03 06:00:00+01:00,1.44,5.191829
2024-01-03 06:30:00+01:00,1.44,5.191829
2024-01-03 07:00:00+01:00,41.11,7.254669
2024-01-03 07:30:00+01:00,41.11,7.254669
2024-01-03 08:00:00+01:00,90.54,9.825029
2024-01-03 08:30:00+01:00,90.54,9.825029
2024-01-03 09:00:00+01:00,161.79,13.530029
2024-01-03 09:30:00+01:00,161.79,13.530029
2024-01-03 10:00:00+01:00,180.36,14.495669
2024-01-03 10:30:00+01:00,180.36,14.495669
2024-01-03 11:00:00+01:00,125.03,11.618509
2024-01-03 11:30:00+01:00,125.03,11.618509
2024-01-03 12:00:00+01:00,100.74,10.355429
2024-01-03 12:30:00+01:00,100.74,10.355429
2024-01-03 13:00:00+01:00,96.39,10.129229
2024-01-03 13:30:00+01:00,96.39,10.129229
2024-01-03 14:00:00+01:00,95.22,10.068389
2024-01-03 14:30:00+01:00,95.22,10.068389
2024-01-03 15:00:00+01:00,102.67,10.455789
2024-01-03 15:30:00+01:00,102.67,10.455789
2024-01-03 16:00:00+01:00,112.87,10.986189
2024-01-03 16:30:00+01:00,112.87,10.986189
2024-01-03 17:00:00+01:00,126.8,11.710549
2024-01-03 17:30:00+01:00,126.8,11.710549
2024-01-03 18:00:00+01:00,148.49,12.838429
2024-01-03 18:30:00+01:00,148.49,12.838429
2024-01-03 19:00:00+01:00,175.06,14.220069
2024-01-03 19:30:00+01:00,175.06,14.220069
2024-01-03 20:00:00+01:00,180.0,14.476949
2024-01-03 20:30:00+01:00,180.0,14.476949
2024-01-03 21:00:00+01:00,146.43,12.731309
2024-01-03 21:30:00+01:00,146.43,12.731309
2024-01-03 22:00:00+01:00,105.71,10.613869
2024-01-03 22:30:00+01:00,105.71,10.613869
2024-01-03 23:00:00+01:00,114.11,11.050669
2024-01-03 23:30:00+01:00,114.11,11.050669
2024-01-04 00:00:00+01:00,100.36,10.335669
2024-01-04 00:30:00+01:00,100.36,10.335669
2024-01-04 01:00:00+01:00,125.47,11.641389
2024-01-04 01:30:00+01:00,125.47,11.641389
2024-01-04 02:00:00+01:00,115.55,11.125549
2024-01-04 02:30:00+01:00,115.55,11.125549
2024-01-04 03:00:00+01:00,113.29,11.008029
2024-01-04 03:30:00+01:00,113.29,11.008029
2024-01-04 04:00:00+01:00,105.81,10.619069
2024-01-04 04:30:00+01:00,105.81,10.619069
2024-01-04 05:00:00+01:00,105.0,10.576949
2024-01-04 05:30:00+01:00,105.0,10.576949
2024-01-04 06:00:00+01:00,115.11,11.102669
2024-01-04 06:30:00+01:00,115.11,11.102669
2024-01-04 07:00:00+01:00,156.91,13.276269
2024-01-04 07:30:00+01:00,156.91,13.276269
2024-01-04 08:00:00+01:00,182.64,14.614228999999998
2024-01-04 08:30:00+01:00,182.64,14.614228999999998
2024-01-04 09:00:00+01:00,178.91,14.420269
2024-01-04 09:30:00+01:00,178.91,14.420269
2024-01-04 10:00:00+01:00,190.0,14.996949
2024-01-04 10:30:00+01:00,190.0,14.996949
2024-01-04 11:00:00+01:00,189.88,14.990709
2024-01-04 11:30:00+01:00,189.88,14.990709
2024-01-04 12:00:00+01:00,182.42,14.602789
2024-01-04 12:30:00+01:00,182.42,14.602789
2024-01-04 13:00:00+01:00,182.46,14.604869
2024-01-04 13:30:00+01:00,182.46,14.604869
2024-01-04 14:00:00+01:00,179.59,14.455629
2024-01-04 14:30:00+01:00,179.59,14.455629
2024-01-04 15:00:00+01:00,179.0,14.424949
2024-01-04 15:30:00+01:00,179.0,14.424949
2024-01-04 16:00:00+01:00,180.93,14.525309
2024-01-04 16:30:00+01:00,180.93,14.525309
2024-01-04 17:00:00+01:00,166.69,13.784829
2024-01-04 17:30:00+01:00,166.69,13.784829
2024-01-04 18:00:00+01:00,189.88,14.990709
2024-01-04 18:30:00+01:00,189.88,14.990709
2024-01-04 19:00:00+01:00,184.94,14.733829
2024-01-04 19:30:00+01:00,184.94,14.733829
2024-01-04 20:00:00+01:00,178.99,14.424429
2024-01-04 20:30:00+01:00,178.99,14.424429
2024-01-04 21:00:00+01:00,156.12,13.235189
2024-01-04 21:30:00+01:00,156.12,13.235189
2024-01-04 22:00:00+01:00,148.65,12.846749
2024-01-04 22:30:00+01:00,148.65,12.846749
2024-01-04 23:00:00+01:00,137.92,12.288788999999998
2024-01-04 23:30:00+01:00,137.92,12.288788999999998
2024-01-05 00:00:00+01:00,105.0,10.576949
2024-01-05 00:30:00+01:00,105.0,10.576949
2024-01-05 01:00:00+01:00,120.11,11.362669
2024-01-05 01:30:00+01:00,120.11,11.362669
2024-01-05 02:00:00+01:00,105.1,10.582149
2024-01-05 02:30:00+01:00,105.1,10.582149
2024-01-05 03:00:00+01:00,84.5,9.510949
2024-01-05 03:30:00+01:00,84.5,9.510949
2024-01-05 04:00:00+01:00,75.38,9.036709
2024-01-05 04:30:00+01:00,75.38,9.036709
2024-01-05 05:00:00+01:00,79.11,9.230668999999999
2024-01-05 05:30:00+01:00,79.11,9.230668999999999
2024-01-05 06:00:00+01:00,94.79,10.046029
2024-01-05 06:30:00+01:00,94.79,10.046029
2024-01-05 07:00:00+01:00,169.04,13.907029
2024-01-05 07:30:00+01:00,169.04,13.907029
2024-01-05 08:00:00+01:00,215.98,16.347909
2024-01-05 08:30:00+01:00,215.98,16.347909
2024-01-05 09:00:00+01:00,211.13,16.095709
2024-01-05 09:30:00+01:00,211.13,16.095709
2024-01-05 10:00:00+01:00,226.52,16.895989
2024-01-05 10:30:00+01:00,226.52,16.895989
