dt,in_union,export_mw,wind_mw,solar_mw,conso_mw,vre_mw,cap_mw_min_export_vre,weight_export_sq,absorb_need_mw_region,export_after_mw
2024-01-01 00:00:00+01:00,1,3820.0,5445.0,0.0,5497.0,5445.0,3820.0,14592400.0,1011.6684983556765,2808.3315016443235
2024-01-01 00:30:00+01:00,1,3631.0,5459.0,0.0,5416.0,5459.0,3631.0,13184161.0,914.0374688844518,2716.9625311155482
2024-01-01 01:00:00+01:00,1,3774.0,5418.0,0.0,5255.0,5418.0,3774.0,14243076.0,987.4504062995653,2786.549593700435
2024-01-01 01:30:00+01:00,1,3689.0,5388.0,0.0,5315.0,5388.0,3689.0,13608721.0,943.4715563314712,2745.528443668529
2024-01-01 02:00:00+01:00,1,3650.0,5368.0,0.0,5301.0,5368.0,3650.0,13322500.0,923.6282975619843,2726.3717024380157
2024-01-01 02:30:00+01:00,1,3740.0,5274.0,0.0,5196.0,5274.0,3740.0,13987600.0,969.7386507771073,2770.261349222893
2024-01-01 03:00:00+01:00,1,2921.0,4223.0,0.0,4978.0,4223.0,2921.0,8532241.0,591.5270579259571,2329.4729420740427
2024-01-01 03:30:00+01:00,1,2188.0,3305.0,0.0,4761.0,3305.0,2188.0,4787344.0,331.899147199368,1856.100852800632
2024-01-01 04:00:00+01:00,1,1930.0,3201.0,0.0,4863.0,3201.0,1930.0,3724900.0,258.24154967826126,1671.7584503217388
2024-01-01 04:30:00+01:00,1,2128.0,3160.0,0.0,4681.0,3160.0,2128.0,4528384.0,313.94585135124254,1814.0541486487575
2024-01-01 05:00:00+01:00,1,2109.0,3151.0,0.0,4633.0,3151.0,2109.0,4447881.0,308.3647030053141,1800.6352969946859
2024-01-01 05:30:00+01:00,1,2133.0,3186.0,0.0,4667.0,3186.0,2133.0,4549689.0,315.4228940143732,1817.5771059856268
2024-01-01 06:00:00+01:00,1,2098.0,3084.0,0.0,4597.0,3084.0,2098.0,4401604.0,305.156390246727,1792.843609753273
2024-01-01 06:30:00+01:00,1,1934.0,3061.0,0.0,4812.0,3061.0,1934.0,3740356.0,259.3130902274914,1674.6869097725087
2024-01-01 07:00:00+01:00,1,1849.0,2996.0,0.0,4845.0,2996.0,1849.0,3418801.0,237.020179946197,1611.979820053803
2024-01-01 07:30:00+01:00,1,1702.0,2976.0,0.0,4808.0,2976.0,1702.0,2896804.0,200.8309361524298,1501.1690638475702
2024-01-01 08:00:00+01:00,1,1603.0,2905.0,0.0,4815.0,2905.0,1603.0,2569609.0,178.14701340363692,1424.852986596363
2024-01-01 08:30:00+01:00,1,2981.0,4417.0,0.0,4859.0,4417.0,2981.0,8886361.0,616.0776492363455,2364.9223507636543
2024-01-01 09:00:00+01:00,1,2834.0,4414.0,0.0,5055.0,4414.0,2834.0,8031556.0,556.8153420944824,2277.1846579055177
2024-01-01 09:30:00+01:00,1,2975.0,4228.0,8.0,4789.0,4236.0,2975.0,8850625.0,613.6001276869611,2361.399872313039
2024-01-01 10:00:00+01:00,1,2883.0,4111.0,24.0,4830.0,4135.0,2883.0,8311689.0,576.2365292501161,2306.7634707498837
2024-01-01 10:30:00+01:00,1,2627.0,4081.0,38.0,4941.0,4119.0,2627.0,6901129.0,478.44458844253256,2148.5554115574673
2024-01-01 11:00:00+01:00,1,2164.0,3968.0,47.0,5361.0,4015.0,2164.0,4682896.0,324.6579290778627,1839.3420709221373
2024-01-01 11:30:00+01:00,1,2252.0,3878.0,59.0,5097.0,3937.0,2252.0,5071504.0,351.59952002993384,1900.400479970066
2024-01-01 12:00:00+01:00,1,2337.0,3925.0,70.0,5161.0,3995.0,2337.0,5461569.0,378.6421225361088,1958.3578774638913
2024-01-01 12:30:00+01:00,1,1996.0,3749.0,76.0,5318.0,3825.0,1996.0,3984016.0,276.2056607648495,1719.7943392351506
2024-01-01 13:00:00+01:00,1,1791.0,3530.0,72.0,5314.0,3602.0,1791.0,3207681.0,222.38355722664093,1568.616442773359
2024-01-01 13:30:00+01:00,1,1875.0,3453.0,71.0,5184.0,3524.0,1875.0,3515625.0,243.7328379520624,1631.2671620479375
2024-01-01 14:00:00+01:00,1,1653.0,3192.0,58.0,5095.0,3250.0,1653.0,2732409.0,189.43368533781526,1463.5663146621848
2024-01-01 14:30:00+01:00,1,1234.0,2835.0,52.0,5219.0,2887.0,1234.0,1522756.0,105.57031577273762,1128.4296842272624
2024-01-01 15:00:00+01:00,1,731.0,2449.0,39.0,5273.0,2488.0,731.0,534361.0,37.0464207703899,693.9535792296101
2024-01-01 15:30:00+01:00,1,704.0,2112.0,22.0,5031.0,2134.0,704.0,495616.0,34.36028990988782,669.6397100901122
2024-01-01 16:00:00+01:00,1,435.0,2017.0,14.0,5121.0,2031.0,435.0,189225.0,13.118676269931806,421.8813237300682
2024-01-01 16:30:00+01:00,1,642.0,1901.0,5.0,4969.0,1906.0,642.0,412164.0,28.574691959942786,613.4253080400572
2024-01-01 17:00:00+01:00,1,1621.0,2056.0,0.0,4723.0,2056.0,1621.0,2627641.0,182.1702821117711,1438.829717888229
2024-01-01 17:30:00+01:00,1,2118.0,2457.0,0.0,5166.0,2457.0,2118.0,4485924.0,311.0021652927339,1806.997834707266
2024-01-01 18:00:00+01:00,1,2650.0,3051.0,0.0,5245.0,3051.0,2650.0,7022500.0,486.85905195188855,2163.1409480481116
2024-01-01 18:30:00+01:00,1,2795.0,3448.0,0.0,5469.0,3448.0,2795.0,7812025.0,541.5955977678109,2253.404402232189
2024-01-01 19:00:00+01:00,1,3254.0,3873.0,0.0,5383.0,3873.0,3254.0,10588516.0,734.0854199127665,2519.9145800872334
2024-01-01 19:30:00+01:00,1,3541.0,4261.0,0.0,5499.0,4261.0,3541.0,12538681.0,869.2873398913716,2671.7126601086284
2024-01-01 20:00:00+01:00,1,3965.0,4660.0,0.0,5486.0,4660.0,3965.0,15721225.0,1089.9281878280283,2875.071812171972
2024-01-01 20:30:00+01:00,1,4469.0,4916.0,0.0,5271.0,4916.0,4469.0,19971961.0,1384.6251332260724,3084.3748667739274
2024-01-01 21:00:00+01:00,1,4731.0,5085.0,0.0,5244.0,5085.0,4731.0,22382361.0,1551.7344331655286,3179.2655668344714
2024-01-01 21:30:00+01:00,1,4571.0,5203.0,0.0,5329.0,5203.0,4571.0,20894041.0,1448.551511954986,3122.448488045014
2024-01-01 22:00:00+01:00,1,4964.0,5300.0,0.0,5079.0,5300.0,4964.0,24641296.0,1708.342899170646,3255.657100829354
2024-01-01 22:30:00+01:00,1,4647.0,5292.0,0.0,5326.0,5292.0,4647.0,21594609.0,1497.120806694442,3149.879193305558
2024-01-01 23:00:00+01:00,1,5160.0,5338.0,0.0,4914.0,5338.0,5160.0,26625600.0,1845.9116231612963,3314.088376838704
2024-01-01 23:30:00+01:00,1,4733.0,5376.0,0.0,5287.0,5376.0,4733.0,22401289.0,1553.046682099006,3179.953317900994
2024-01-02 00:00:00+01:00,1,4905.0,5361.0,0.0,5167.0,5361.0,4905.0,24059025.0,1667.9749522800691,3237.0250477199306
2024-01-02 00:30:00+01:00,1,4641.0,5396.0,0.0,5334.0,5396.0,4641.0,21538881.0,1493.2572707389882,3147.742729261012
2024-01-02 01:00:00+01:00,1,4487.0,5413.0,0.0,5156.0,5413.0,4487.0,20133169.0,1395.8014342651695,3091.1985657348305
2024-01-02 01:30:00+01:00,1,4540.0,5456.0,0.0,5109.0,5456.0,4540.0,20611600.0,1428.9703147328653,3111.0296852671345
2024-01-02 02:00:00+01:00,1,4841.0,5504.0,0.0,4825.0,5504.0,4841.0,23435281.0,1624.7317465127956,3216.2682534872047
2024-01-02 02:30:00+01:00,1,4772.0,5471.0,0.0,4912.0,5471.0,4772.0,22771984.0,1578.7463924960591,3193.2536075039407
2024-01-02 03:00:00+01:00,1,4690.0,5469.0,0.0,4975.0,5469.0,4690.0,21996100.0,1524.95555608956,3165.04444391044
2024-01-02 03:30:00+01:00,1,5042.0,5466.0,0.0,4667.0,5466.0,5042.0,25421764.0,1762.4515371996656,3279.548462800334
2024-01-02 04:00:00+01:00,1,5098.0,5461.0,0.0,4598.0,5461.0,5098.0,25989604.0,1801.8190052039886,3296.1809947960114
2024-01-02 04:30:00+01:00,1,5138.0,5424.0,0.0,4550.0,5424.0,5138.0,26399044.0,1830.204846461544,3307.795153538456
2024-01-02 05:00:00+01:00,1,5206.0,5402.0,0.0,4505.0,5402.0,5206.0,27102436.0,1878.969924748556,3327.030075251444
2024-01-02 05:30:00+01:00,1,4911.0,5314.0,0.0,4690.0,5314.0,4911.0,24117921.0,1672.0581207704583,3238.941879229542
2024-01-02 06:00:00+01:00,1,4462.0,5220.0,0.0,4979.0,5220.0,4462.0,19909444.0,1380.2909264121345,3081.7090735878655
2024-01-02 06:30:00+01:00,1,4907.0,5151.0,0.0,4978.0,5151.0,4907.0,24078649.0,1669.3354538159185,3237.6645461840817
2024-01-02 07:00:00+01:00,1,4528.0,5012.0,0.0,5332.0,5012.0,4528.0,20502784.0,1421.4262699344038,3106.5737300655965
2024-01-02 07:30:00+01:00,1,4546.0,5010.0,0.0,5294.0,5010.0,4546.0,20666116.0,1432.7498246048779,3113.250175395122
2024-01-02 08:00:00+01:00,1,4046.0,4866.0,0.0,5704.0,4866.0,4046.0,16370116.0,1134.9147961698031,2911.085203830197
2024-01-02 08:30:00+01:00,1,4058.0,4782.0,0.0,5550.0,4782.0,4058.0,16467364.0,1141.6568494391827,2916.3431505608173
2024-01-02 09:00:00+01:00,1,3992.0,4791.0,0.0,5683.0,4791.0,3992.0,15936064.0,1104.822643059398,2887.1773569406023
2024-01-02 09:30:00+01:00,1,4060.0,4918.0,0.0,5696.0,4918.0,4060.0,16483600.0,1142.7824661807263,2917.2175338192737
2024-01-02 10:00:00+01:00,1,4318.0,5103.0,2.0,5690.0,5105.0,4318.0,18645124.0,1292.6375783788399,3025.36242162116
2024-01-02 10:30:00+01:00,1,4318.0,5267.0,4.0,5790.0,5271.0,4318.0,18645124.0,1292.6375783788399,3025.36242162116
2024-01-02 11:00:00+01:00,1,4237.0,5361.0,8.0,5979.0,5369.0,4237.0,17952169.0,1244.5960811420553,2992.4039188579445
2024-01-02 11:30:00+01:00,1,4135.0,5427.0,9.0,6122.0,5436.0,4135.0,17098225.0,1185.3934657970922,2949.606534202908
2024-01-02 12:00:00+01:00,1,4205.0,5443.0,10.0,6144.0,5453.0,4205.0,17682025.0,1225.8674158902943,2979.132584109706
2024-01-02 12:30:00+01:00,1,4190.0,5420.0,16.0,6111.0,5436.0,4190.0,17556100.0,1217.1372306119688,2972.862769388031
2024-01-02 13:00:00+01:00,1,4268.0,5428.0,23.0,6055.0,5451.0,4268.0,18215824.0,1262.8748740708377,3005.125125929162
2024-01-02 13:30:00+01:00,1,4244.0,5440.0,21.0,6048.0,5461.0,4244.0,18011536.0,1248.7119033331876,2995.2880966668126
2024-01-02 14:00:00+01:00,1,4399.0,5485.0,18.0,5973.0,5503.0,4399.0,19351201.0,1341.5888035586242,3057.411196441376
2024-01-02 14:30:00+01:00,1,4210.0,5425.0,12.0,6088.0,5437.0,4210.0,17724100.0,1228.7844104949047,2981.2155895050955
2024-01-02 15:00:00+01:00,1,4345.0,5453.0,9.0,5939.0,5462.0,4345.0,18879025.0,1308.8535725562126,3036.1464274437876
2024-01-02 15:30:00+01:00,1,4536.0,5501.0,7.0,5803.0,5508.0,4536.0,20575296.0,1426.4534146229241,3109.5465853770756
2024-01-02 16:00:00+01:00,1,4539.0,5496.0,5.0,5787.0,5501.0,4539.0,20602521.0,1428.340881720025,3110.659118279975
2024-01-02 16:30:00+01:00,1,4419.0,5378.0,3.0,5833.0,5381.0,4419.0,19527561.0,1353.8155692976393,3065.1844307023607
2024-01-02 17:00:00+01:00,1,4211.0,5306.0,0.0,5909.0,5306.0,4211.0,17732521.0,1229.3682253865368,2981.631774613463
2024-01-02 17:30:00+01:00,1,4037.0,5186.0,0.0,6003.0,5186.0,4037.0,16297369.0,1129.8713592951367,2907.1286407048633
2024-01-02 18:00:00+01:00,1,4022.0,5281.0,0.0,6072.0,5281.0,4022.0,16176484.0,1121.4905894132992,2900.509410586701
2024-01-02 18:30:00+01:00,1,3964.0,5344.0,0.0,6201.0,5344.0,3964.0,15713296.0,1089.3784825346247,2874.6215174653753
2024-01-02 19:00:00+01:00,1,3831.0,5352.0,0.0,6347.0,5352.0,3831.0,14676561.0,1017.5032501778657,2813.4967498221345
2024-01-02 19:30:00+01:00,1,3960.0,5369.0,0.0,6222.0,5369.0,3960.0,15681600.0,1087.1810479300443,2872.8189520699557
2024-01-02 20:00:00+01:00,1,4023.0,5373.0,0.0,6169.0,5373.0,4023.0,16184529.0,1122.0483368070982,2900.951663192902
2024-01-02 20:30:00+01:00,1,4347.0,5395.0,0.0,5866.0,5395.0,4347.0,18896409.0,1310.0587783602898,3036.9412216397104
2024-01-02 21:00:00+01:00,1,4397.0,5382.0,0.0,5809.0,5382.0,4397.0,19333609.0,1340.3691774365966,3056.6308225634034
2024-01-02 21:30:00+01:00,1,4602.0,5350.0,0.0,5554.0,5350.0,4602.0,21178404.0,1468.2659584612438,3133.734041538756
2024-01-02 22:00:00+01:00,1,4470.0,5335.0,0.0,5718.0,5335.0,4470.0,19980900.0,1385.2448602556767,3084.755139744323
