type,start_dt_key,end_dt_key,start_dt_local,end_dt_local,n_points,duration_hours,unique_days_count
PV1,2024-04-01T11:30:00+02:00,2024-04-01T14:00:00+02:00,2024-04-01 11:30:00,2024-04-01 14:00:00,6,3.0,1
PV1,2024-04-02T11:00:00+02:00,2024-04-02T15:30:00+02:00,2024-04-02 11:00:00,2024-04-02 15:30:00,10,5.0,1
PV1,2024-04-03T13:00:00+02:00,2024-04-03T15:30:00+02:00,2024-04-03 13:00:00,2024-04-03 15:30:00,6,3.0,1
PV1,2024-04-04T12:00:00+02:00,2024-04-04T15:30:00+02:00,2024-04-04 12:00:00,2024-04-04 15:30:00,8,4.0,1
PV1,2024-04-05T12:00:00+02:00,2024-04-05T14:00:00+02:00,2024-04-05 12:00:00,2024-04-05 14:00:00,5,2.5,1
PV1,2024-04-08T12:30:00+02:00,2024-04-08T15:30:00+02:00,2024-04-08 12:30:00,2024-04-08 15:30:00,7,3.5,1
PV1,2024-04-10T11:00:00+02:00,2024-04-10T15:30:00+02:00,2024-04-10 11:00:00,2024-04-10 15:30:00,10,5.0,1
PV1,2024-04-11T11:00:00+02:00,2024-04-11T15:30:00+02:00,2024-04-11 11:00:00,2024-04-11 15:30:00,10,5.0,1
PV1,2024-04-12T10:30:00+02:00,2024-04-12T15:30:00+02:00,2024-04-12 10:30:00,2024-04-12 15:30:00,11,5.5,1
PV1,2024-04-13T11:30:00+02:00,2024-04-13T15:30:00+02:00,2024-04-13 11:30:00,2024-04-13 15:30:00,9,4.5,1
PV1,2024-04-14T11:30:00+02:00,2024-04-14T15:30:00+02:00,2024-04-14 11:30:00,2024-04-14 15:30:00,9,4.5,1
PV1,2024-04-16T13:00:00+02:00,2024-04-16T13:30:00+02:00,2024-04-16 13:00:00,2024-04-16 13:30:00,2,1.0,1
PV1,2024-04-17T11:30:00+02:00,2024-04-17T15:30:00+02:00,2024-04-17 11:30:00,2024-04-17 15:30:00,9,4.5,1
PV1,2024-04-18T11:30:00+02:00,2024-04-18T15:30:00+02:00,2024-04-18 11:30:00,2024-04-18 15:30:00,9,4.5,1
PV1,2024-04-19T11:00:00+02:00,2024-04-19T15:30:00+02:00,2024-04-19 11:00:00,2024-04-19 15:30:00,10,5.0,1
PV1,2024-04-20T10:30:00+02:00,2024-04-20T15:30:00+02:00,2024-04-20 10:30:00,2024-04-20 15:30:00,11,5.5,1
PV1,2024-04-21T10:30:00+02:00,2024-04-21T10:30:00+02:00,2024-04-21 10:30:00,2024-04-21 10:30:00,1,0.5,1
PV1,2024-04-21T12:00:00+02:00,2024-04-21T15:30:00+02:00,2024-04-21 12:00:00,2024-04-21 15:30:00,8,4.0,1
PV1,2024-04-22T10:30:00+02:00,2024-04-22T15:30:00+02:00,2024-04-22 10:30:00,2024-04-22 15:30:00,11,5.5,1
PV1,2024-04-23T10:30:00+02:00,2024-04-23T15:30:00+02:00,2024-04-23 10:30:00,2024-04-23 15:30:00,11,5.5,1
