dt,absorb_need_mw,grid_buy_eur_per_mwh,grid_sell_eur_per_mwh,h2_price_eur_per_kg,P_curt_use_mw,Unused_curt_mw,P_grid_buy_mw,P_grid_sell_mw,P_el_mw,y_el_on,y_el_start,y_el_stop,P_fc_mw,y_fc_on,y_fc_start,y_fc_stop,y_switch_el2fc,y_switch_fc2el,P_batt_ch_mw,P_batt_dis_mw,SOC_batt_mwh,H2_prod_kg,H2_cons_fc_kg,H2_sale_kg,SOC_h2_kg
2024-01-01 00:00:00+01:00,1011.6684983556764,70.0,70.0,3.0,1011.6685,0.0,0.0,1211.6685,0.0,0,0,0,0.0,0,0,0,1,1,0.0,200.0,294.73684,0.0,0.0,1000000.0,0.0
2024-01-01 00:30:00+01:00,914.0374688844518,70.0,70.0,3.0,914.03747,0.0,0.0,998.03747,0.0,0,0,0,0.0,0,0,0,1,1,0.0,84.0,250.52632,0.0,0.0,0.0,0.0
2024-01-01 01:00:00+01:00,987.4504062995652,70.0,70.0,3.0,987.45041,0.0,0.0,1187.4504,0.0,0,0,0,0.0,0,0,0,1,1,0.0,200.0,145.26316,0.0,0.0,0.0,0.0
2024-01-01 01:30:00+01:00,943.4715563314712,70.0,70.0,3.0,943.47156,0.0,0.0,1143.4716,0.0,0,0,0,0.0,0,0,0,1,1,0.0,200.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 02:00:00+01:00,923.6282975619844,70.0,70.0,3.0,923.6283,0.0,0.0,923.6283,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 02:30:00+01:00,969.7386507771072,70.0,70.0,3.0,969.73865,0.0,0.0,969.73865,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 03:00:00+01:00,591.5270579259571,70.0,70.0,3.0,591.52706,0.0,0.0,591.52706,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 03:30:00+01:00,331.899147199368,70.0,70.0,3.0,331.89915,0.0,0.0,331.89915,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 04:00:00+01:00,258.24154967826126,70.0,70.0,3.0,258.24155,0.0,0.0,258.24155,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 04:30:00+01:00,313.94585135124254,70.0,70.0,3.0,313.94585,0.0,0.0,313.94585,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 05:00:00+01:00,308.3647030053141,70.0,70.0,3.0,308.3647,0.0,0.0,308.3647,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 05:30:00+01:00,315.4228940143732,70.0,70.0,3.0,315.42289,0.0,0.0,315.42289,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 06:00:00+01:00,305.156390246727,70.0,70.0,3.0,305.15639,0.0,0.0,305.15639,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 06:30:00+01:00,259.3130902274914,70.0,70.0,3.0,259.31309,0.0,0.0,259.31309,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 07:00:00+01:00,237.020179946197,70.0,70.0,3.0,237.02018,0.0,0.0,237.02018,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 07:30:00+01:00,200.8309361524298,70.0,70.0,3.0,200.83094,0.0,0.0,200.83094,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 08:00:00+01:00,178.14701340363692,70.0,70.0,3.0,178.14701,0.0,0.0,178.14701,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 08:30:00+01:00,616.0776492363455,70.0,70.0,3.0,616.07765,0.0,0.0,616.07765,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 09:00:00+01:00,556.8153420944824,70.0,70.0,3.0,556.81534,0.0,0.0,556.81534,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 09:30:00+01:00,613.6001276869611,70.0,70.0,3.0,613.60013,0.0,0.0,613.60013,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 10:00:00+01:00,576.2365292501161,70.0,70.0,3.0,576.23653,0.0,0.0,576.23653,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 10:30:00+01:00,478.44458844253256,70.0,70.0,3.0,478.44459,0.0,0.0,478.44459,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 11:00:00+01:00,324.6579290778627,70.0,70.0,3.0,324.65793,0.0,0.0,324.65793,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
2024-01-01 11:30:00+01:00,351.59952002993384,70.0,70.0,3.0,351.59952,0.0,0.0,351.59952,0.0,0,0,0,0.0,0,0,0,1,1,0.0,0.0,40.0,0.0,0.0,0.0,0.0
